dataset	sample	condition	config	cell_type	n_cells	total_target_counts
GSE332910	GSM9755192	MCAO	primary	Astrocyte	1295	5048505
GSE332910	GSM9755192	MCAO	primary	Endothelial	249	1620040
GSE332910	GSM9755192	MCAO	primary	Pericyte	124	629273
GSE332910	GSM9755192	MCAO	primary	Smooth_muscle	4	23970
GSE332910	GSM9755192	MCAO	primary	Fibroblast	140	701605
GSE332910	GSM9755192	MCAO	primary	Microglia	1131	3680766
GSE332910	GSM9755192	MCAO	primary	Myeloid	430	1530376
GSE332910	GSM9755192	MCAO	primary	Oligodendrocyte	2398	7851719
GSE332910	GSM9755192	MCAO	primary	OPC	921	3380599
GSE332910	GSM9755192	MCAO	primary	Neuron	2174	14087494
GSE332910	GSM9755192	MCAO	primary	Ependymal	42	342710
GSE332910	GSM9755192	MCAO	primary	Choroid	1	9868
GSE332910	GSM9755192	MCAO	primary	Lymphocyte	4	24779
GSE332910	GSM9755192	MCAO	primary	Neutrophil	9	20731
GSE332910	GSM9755192	MCAO	primary	Erythroid	84	517609
GSE332910	GSM9755194	MCAO	primary	Astrocyte	1188	3479447
GSE332910	GSM9755194	MCAO	primary	Endothelial	248	1392357
GSE332910	GSM9755194	MCAO	primary	Pericyte	118	562572
GSE332910	GSM9755194	MCAO	primary	Smooth_muscle	3	20857
GSE332910	GSM9755194	MCAO	primary	Fibroblast	42	205358
GSE332910	GSM9755194	MCAO	primary	Microglia	810	2241986
GSE332910	GSM9755194	MCAO	primary	Myeloid	342	1068195
GSE332910	GSM9755194	MCAO	primary	Oligodendrocyte	1869	4835328
GSE332910	GSM9755194	MCAO	primary	OPC	611	1948707
GSE332910	GSM9755194	MCAO	primary	Neuron	1827	9724753
GSE332910	GSM9755194	MCAO	primary	Ependymal	136	823590
GSE332910	GSM9755194	MCAO	primary	Choroid	120	510214
GSE332910	GSM9755194	MCAO	primary	Lymphocyte	4	11673
GSE332910	GSM9755194	MCAO	primary	Neutrophil	52	214148
GSE332910	GSM9755194	MCAO	primary	Erythroid	171	740713
GSE332910	GSM9755196	MCAO	primary	Astrocyte	1002	3127998
GSE332910	GSM9755196	MCAO	primary	Endothelial	122	755378
GSE332910	GSM9755196	MCAO	primary	Pericyte	49	228817
GSE332910	GSM9755196	MCAO	primary	Smooth_muscle	6	37198
GSE332910	GSM9755196	MCAO	primary	Fibroblast	107	545649
GSE332910	GSM9755196	MCAO	primary	Microglia	696	1919729
GSE332910	GSM9755196	MCAO	primary	Myeloid	245	810546
GSE332910	GSM9755196	MCAO	primary	Oligodendrocyte	1397	3830109
GSE332910	GSM9755196	MCAO	primary	OPC	506	1804149
GSE332910	GSM9755196	MCAO	primary	Neuron	1516	8989346
GSE332910	GSM9755196	MCAO	primary	Ependymal	15	107926
GSE332910	GSM9755196	MCAO	primary	Choroid	0	0
GSE332910	GSM9755196	MCAO	primary	Lymphocyte	0	0
GSE332910	GSM9755196	MCAO	primary	Neutrophil	6	25412
GSE332910	GSM9755196	MCAO	primary	Erythroid	74	384546
GSE332910	GSM9755210	Sham	primary	Astrocyte	1009	2736814
GSE332910	GSM9755210	Sham	primary	Endothelial	215	1089983
GSE332910	GSM9755210	Sham	primary	Pericyte	97	410400
GSE332910	GSM9755210	Sham	primary	Smooth_muscle	10	42572
GSE332910	GSM9755210	Sham	primary	Fibroblast	141	580137
GSE332910	GSM9755210	Sham	primary	Microglia	742	2009188
GSE332910	GSM9755210	Sham	primary	Myeloid	292	994451
GSE332910	GSM9755210	Sham	primary	Oligodendrocyte	1056	2525088
GSE332910	GSM9755210	Sham	primary	OPC	435	1149626
GSE332910	GSM9755210	Sham	primary	Neuron	992	3841268
GSE332910	GSM9755210	Sham	primary	Ependymal	18	69401
GSE332910	GSM9755210	Sham	primary	Choroid	7	30346
GSE332910	GSM9755210	Sham	primary	Lymphocyte	3	8228
GSE332910	GSM9755210	Sham	primary	Neutrophil	3	5668
GSE332910	GSM9755210	Sham	primary	Erythroid	286	1164144
GSE332910	GSM9755212	Sham	primary	Astrocyte	1259	3544917
GSE332910	GSM9755212	Sham	primary	Endothelial	203	1014641
GSE332910	GSM9755212	Sham	primary	Pericyte	102	401029
GSE332910	GSM9755212	Sham	primary	Smooth_muscle	4	22928
GSE332910	GSM9755212	Sham	primary	Fibroblast	57	295606
GSE332910	GSM9755212	Sham	primary	Microglia	959	2911649
GSE332910	GSM9755212	Sham	primary	Myeloid	192	688927
GSE332910	GSM9755212	Sham	primary	Oligodendrocyte	1505	3825736
GSE332910	GSM9755212	Sham	primary	OPC	553	1836916
GSE332910	GSM9755212	Sham	primary	Neuron	1521	7011035
GSE332910	GSM9755212	Sham	primary	Ependymal	7	43479
GSE332910	GSM9755212	Sham	primary	Choroid	30	145774
GSE332910	GSM9755212	Sham	primary	Lymphocyte	2	13410
GSE332910	GSM9755212	Sham	primary	Neutrophil	2	14870
GSE332910	GSM9755212	Sham	primary	Erythroid	55	280405
GSE332910	GSM9755214	Sham	primary	Astrocyte	677	1164977
GSE332910	GSM9755214	Sham	primary	Endothelial	75	230131
GSE332910	GSM9755214	Sham	primary	Pericyte	50	95171
GSE332910	GSM9755214	Sham	primary	Smooth_muscle	1	7885
GSE332910	GSM9755214	Sham	primary	Fibroblast	25	75073
GSE332910	GSM9755214	Sham	primary	Microglia	550	710592
GSE332910	GSM9755214	Sham	primary	Myeloid	155	311025
GSE332910	GSM9755214	Sham	primary	Oligodendrocyte	1492	2236495
GSE332910	GSM9755214	Sham	primary	OPC	389	741899
GSE332910	GSM9755214	Sham	primary	Neuron	1088	3580831
GSE332910	GSM9755214	Sham	primary	Ependymal	34	119023
GSE332910	GSM9755214	Sham	primary	Choroid	23	83057
GSE332910	GSM9755214	Sham	primary	Lymphocyte	3	9860
GSE332910	GSM9755214	Sham	primary	Neutrophil	6	8563
GSE332910	GSM9755214	Sham	primary	Erythroid	113	295435
