Package	Version	LibPath	Built	Priority	RemoteSha
CellChat	2.2.0.9001	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-03 13:38:57 UTC; windows		75253cd0c9e68410e6e721a6d3a0419a1d7e358f
Deriv	4.3.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-03 23:51:16 UTC; windows		
Formula	1.2-6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 00:54:00 UTC; windows		
MatrixModels	0.5-4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 02:20:47 UTC; windows		
NMF	0.28	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:10:05 UTC; windows		
Rdpack	2.6.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 01:55:55 UTC; windows		
SparseM	1.84-2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:03 UTC; windows		
broom	1.0.13	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 04:11:56 UTC; windows		
car	3.1-5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 04:53:17 UTC; windows		
carData	3.0-6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 00:54:01 UTC; windows		
coda	0.19-4.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 00:54:39 UTC; windows		
collapse	2.1.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:56:08 UTC; windows		
corrplot	0.95	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 00:55:05 UTC; windows		
doBy	4.7.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 04:49:26 UTC; windows		
forecast	9.0.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:03:40 UTC; windows		
fracdiff	1.5-4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows		
ggalluvial	0.12.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 03:43:01 UTC; windows		
ggnetwork	0.5.14	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 03:22:46 UTC; windows		
ggpubr	1.0.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 04:56:39 UTC; windows		
ggsci	5.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 03:03:58 UTC; windows		
ggsignif	0.6.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 03:03:58 UTC; windows		
gridBase	0.4-7	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 00:58:25 UTC; windows		
lme4	2.0-6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:40:21 UTC; windows		
minqa	1.2.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:53 UTC; windows		
modelr	0.1.11	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 04:38:15 UTC; windows		
network	1.20.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:04:33 UTC; windows		
nloptr	2.2.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:01 UTC; windows		
pbkrtest	0.5.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 04:52:36 UTC; windows		
polynom	1.4-1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 00:55:03 UTC; windows		
quantreg	6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-02 03:15:10 UTC; windows		
