elapsed_seconds	rss_bytes
0.03	5083136
1.03	126873600
2.05	239919104
3.06	351506432
4.06	456724480
5.08	552194048
6.09	589873152
7.11	712716288
8.12	944013312
9.14	1034256384
10.16	1277267968
11.17	759554048
12.19	1049673728
13.2	939065344
14.22	963719168
15.25	940535808
16.27	1186291712
17.28	1147568128
18.3	1017405440
19.31	1078550528
20.33	978391040
21.34	1180971008
22.36	1173831680
23.38	1167802368
24.39	1163927552
25.41	1157050368
26.42	1120706560
27.42	1066352640
28.44	1081806848
29.45	1064493056
30.47	1097728000
31.48	1119637504
32.5	1162792960
33.5	1142562816
34.52	1027735552
35.53	1102135296
36.55	1136787456
37.55	1073242112
38.56	1111916544
39.58	1072914432
40.59	1021022208
41.61	1036431360
42.62	1014538240
43.64	1187475456
44.66	1007345664
45.67	1186017280
46.69	1172717568
47.7	1056014336
48.72	1039986688
49.73	1108959232
50.75	1041022976
51.75	1084567552
52.77	1024970752
53.8	1187291136
54.81	1178673152
55.83	1093328896
56.84	1094893568
57.86	1014960128
58.88	1184194560
59.89	1191067648
60.91	1174302720
61.91	1165950976
62.94	1027190784
63.95	1009901568
64.98	1081094144
66.0	924848128
67.02	1141182464
68.05	1120923648
69.06	1167024128
70.08	1041051648
71.09	1003081728
72.11	1182220288
73.12	1180651520
74.14	1092157440
75.16	1059352576
76.17	1074499584
77.19	1017151488
78.2	1171689472
79.22	1172627456
80.23	1180487680
81.23	1163984896
82.25	1172959232
83.27	1170317312
84.28	1160921088
85.3	1128128512
86.31	1084051456
87.34	1008652288
88.36	1181597696
89.38	1167548416
90.38	1174429696
91.39	1166684160
92.41	1172258816
93.42	1178992640
94.42	1157292032
95.44	1150365696
96.45	1155248128
97.45	1159258112
98.47	1153101824
99.5	1168470016
100.5	1151303680
101.53	1087578112
102.55	1125085184
103.56	1077186560
104.56	1092255744
105.58	1128894464
106.59	1130549248
107.61	1126940672
108.61	1074114560
109.62	1058869248
110.64	1104371712
111.66	1072541696
112.67	1054285824
113.67	1064747008
114.69	1035362304
115.7	1028206592
116.73	1176588288
117.75	1158828032
118.77	1188253696
119.78	1063321600
120.8	1009061888
121.81	1097633792
122.83	1170915328
123.83	1166819328
124.84	1170329600
125.86	1212166144
126.86	1063563264
127.88	1020002304
128.89	1021661184
129.91	1033502720
130.92	1035264000
131.94	1029619712
132.94	1024593920
133.95	1028751360
134.97	1040732160
135.98	1044066304
137.0	1035395072
138.02	1034764288
139.05	1013018624
140.06	1007579136
141.08	988508160
142.11	976625664
143.12	977907712
144.14	979070976
145.14	980201472
146.16	982482944
147.17	983941120
148.17	984809472
149.19	659308544
150.2	689590272
151.22	691740672
152.23	691585024
153.25	688566272
154.25	768327680
155.28	480600064
