source	target	ligand	receptor
Astrocyte	Astrocyte	Enho	Gpr19
Astrocyte	Astrocyte	Gas6	Axl
Astrocyte	Astrocyte	Gas6	Mertk
Astrocyte	Astrocyte	Jam2	Itgav_Itgb1
Astrocyte	Astrocyte	Lamb2	Dag1
Astrocyte	Astrocyte	Lamb2	Itga6_Itgb1
Astrocyte	Astrocyte	Lamb2	Itgav_Itgb8
Astrocyte	Astrocyte	Lrrc4b	Ptprf
Astrocyte	Astrocyte	Lrrc4b	Ptprs
Astrocyte	Astrocyte	Mdk	Itga6_Itgb1
Astrocyte	Astrocyte	Mdk	Lrp1
Astrocyte	Astrocyte	Mdk	Ncl
Astrocyte	Astrocyte	Mdk	Ptprz1
Astrocyte	Astrocyte	Mdk	Sdc2
Astrocyte	Astrocyte	Mdk	Sdc4
Astrocyte	Astrocyte	Ncam1	Fgfr1
Astrocyte	Astrocyte	Nrxn1	Nlgn3
Astrocyte	Astrocyte	Nrxn2	Nlgn3
Astrocyte	Astrocyte	Psap	Gpr37
Astrocyte	Astrocyte	Psap	Gpr37l1
Astrocyte	Astrocyte	Ptn	Ncl
Astrocyte	Astrocyte	Ptn	Ptprz1
Astrocyte	Astrocyte	Ptn	Sdc2
Astrocyte	Astrocyte	Ptn	Sdc4
Astrocyte	Astrocyte	Sema4a	Plxnb1
Astrocyte	Astrocyte	Slitrk2	Ptprs
Astrocyte	Endothelial	Lamb2	Dag1
Astrocyte	Endothelial	Lamb2	Itga6_Itgb1
Astrocyte	Endothelial	Mdk	Itga6_Itgb1
Astrocyte	Endothelial	Mdk	Ncl
Astrocyte	Endothelial	Ptn	Ncl
Astrocyte	Endothelial	Ptn	Sdc3
Astrocyte	Endothelial	Sema4a	Nrp1_Plxna2
Astrocyte	Endothelial	Vegfa	Flt1_Kdr
Astrocyte	Ependymal	Enho	Gpr19
Astrocyte	Ependymal	Lamb2	Dag1
Astrocyte	Ependymal	Lrrc4b	Ptprf
Astrocyte	Ependymal	Mdk	Lrp1
Astrocyte	Ependymal	Mdk	Ncl
Astrocyte	Ependymal	Mdk	Ptprz1
Astrocyte	Ependymal	Mdk	Sdc2
Astrocyte	Ependymal	Mdk	Sdc4
Astrocyte	Ependymal	Ncam1	Fgfr1
Astrocyte	Ependymal	Psap	Gpr37l1
Astrocyte	Ependymal	Ptn	Ncl
Astrocyte	Ependymal	Ptn	Ptprz1
Astrocyte	Ependymal	Ptn	Sdc2
Astrocyte	Ependymal	Ptn	Sdc4
Astrocyte	Ependymal	Sema4a	Plxnb2
Astrocyte	Fibroblast	App	Cd74
Astrocyte	Fibroblast	Gas6	Axl
Astrocyte	Fibroblast	Jam2	Itgav_Itgb1
Astrocyte	Fibroblast	Lamb2	Dag1
Astrocyte	Fibroblast	Mdk	Lrp1
Astrocyte	Fibroblast	Mdk	Ncl
Astrocyte	Fibroblast	Mdk	Sdc2
Astrocyte	Fibroblast	Mdk	Sdc4
Astrocyte	Fibroblast	Ncam1	Fgfr1
Astrocyte	Fibroblast	Ptn	Ncl
Astrocyte	Fibroblast	Ptn	Sdc2
Astrocyte	Fibroblast	Ptn	Sdc4
Astrocyte	Fibroblast	Sema4a	Nrp1_Plxna2
Astrocyte	Fibroblast	Sema4a	Plxnb2
Astrocyte	Fibroblast	Tgfb2	Tgfbr1_Tgfbr2
Astrocyte	Microglia	App	Cd74
Astrocyte	Microglia	App	Tnfrsf21
Astrocyte	Microglia	Gas6	Mertk
Astrocyte	Microglia	Jam2	Itgav_Itgb1
Astrocyte	Microglia	Jam3	Itgam_Itgb2
Astrocyte	Microglia	Lamb2	Itga6_Itgb1
Astrocyte	Microglia	Mdk	Itga6_Itgb1
Astrocyte	Microglia	Mdk	Lrp1
Astrocyte	Microglia	Mdk	Ncl
Astrocyte	Microglia	Ptn	Ncl
Astrocyte	Microglia	Rarres2	Cmklr1
