source	target	ligand	receptor
Astrocyte	Endothelial	Lamb2	Dag1
Astrocyte	Endothelial	Lamb2	Itga6_Itgb1
Astrocyte	Endothelial	Mdk	Itga6_Itgb1
Astrocyte	Endothelial	Mdk	Ncl
Astrocyte	Endothelial	Ptn	Ncl
Astrocyte	Endothelial	Ptn	Sdc3
Astrocyte	Endothelial	Sema4a	Nrp1_Plxna2
Astrocyte	Endothelial	Vegfa	Flt1_Kdr
Endothelial	Astrocyte	Agrn	Dag1
Endothelial	Astrocyte	Col4a1	Itgav_Itgb8
Endothelial	Astrocyte	Col4a2	Itgav_Itgb8
Endothelial	Astrocyte	Dll4	Notch1
Endothelial	Astrocyte	Dll4	Notch2
Endothelial	Astrocyte	Edn1	Ednrb
Endothelial	Astrocyte	Efna1	Epha5
Endothelial	Astrocyte	Entpd1	Adora2b
Endothelial	Astrocyte	Fn1	Itgav_Itgb1
Endothelial	Astrocyte	Fn1	Itgav_Itgb8
Endothelial	Astrocyte	Gas6	Axl
Endothelial	Astrocyte	Gas6	Mertk
Endothelial	Astrocyte	Jam2	Itgav_Itgb1
Endothelial	Astrocyte	Lamb2	Dag1
Endothelial	Astrocyte	Lamb2	Itga6_Itgb1
Endothelial	Astrocyte	Lamb2	Itgav_Itgb8
Endothelial	Astrocyte	Pros1	Axl
Endothelial	Astrocyte	Pros1	Mertk
Endothelial	Astrocyte	Psap	Gpr37
Endothelial	Astrocyte	Psap	Gpr37l1
Endothelial	Astrocyte	Ptn	Ncl
Endothelial	Astrocyte	Ptn	Ptprz1
Endothelial	Astrocyte	Ptn	Sdc2
Endothelial	Astrocyte	Ptn	Sdc4
