source	target	original_ligand	original_receptor	canonical_ligand	canonical_receptor	complex_order_changed	n_native_rows_exact_canonical	n_native_protein_rows_exact_canonical	native_interaction_ids	casefold_only_native_match	all_original_subunit_symbols_in_native_geneInfo	native_rows_requiring_additional_subunits	missing_genes_by_sample	in_controlled_1548	in_final_32	reason
Astrocyte	Endothelial	Adam10	Cadm1	Adam10	Cadm1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Adam10	Il6ra	Adam10	Il6ra	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Adam10	Notch1	Adam10	Notch1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Adam10	Trem2	Adam10	Trem2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Adam10	Tspan12	Adam10	Tspan12	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Adam10	Tspan14	Adam10	Tspan14	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Adam10	Tspan17	Adam10	Tspan17	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Adam10	Tspan5	Adam10	Tspan5	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Adam15	Itgb1	Adam15	Itgb1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Alcam	Nrp1	Alcam	Nrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Apoe	Lrp8	Apoe	Lrp8	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Apoe	Lsr	Apoe	Lsr	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Apoe	Scarb1	Apoe	Scarb1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Apoe	Trem2	Apoe	Trem2	False	0	0		False	True	APOE_TREM2_TYROBP	{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	App	Aplp2	App	Aplp2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	App	Lrp10	App	Lrp10	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	App	Ncstn	App	Ncstn	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	App	Rpsa	App	Rpsa	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	App	Tspan12	App	Tspan12	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Arf1	Insr	Arf1	Insr	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	B2m	Tfrc	B2m	Tfrc	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Bsg	Slc16a1	Bsg	Slc16a1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	C1qa	Cd93	C1qa	Cd93	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	C1qb	C1qbp	C1qb	C1qbp	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Calr	Scarf1	Calr	Scarf1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Gnai2	Cav1	Gnai2	Cav1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Gnai2	Igf1r	Gnai2	Igf1r	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Gnai2	S1pr1	Gnai2	S1pr1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Gpi1	Amfr	Gpi1	Amfr	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
