Package	Version	Library
Biobase	2.72.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
BiocGenerics	0.58.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
BiocManager	1.30.27	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
BiocNeighbors	2.6.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
CellChat	2.2.0.9001	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
ComplexHeatmap	2.28.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
FNN	1.1.4.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
Formula	1.2.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
GetoptLong	1.1.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
GlobalOptions	0.1.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
IRanges	2.46.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
Matrix	1.7.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
NMF	0.28	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
R6	2.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RColorBrewer	1.1.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RSpectra	0.16.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
Rcpp	1.1.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
S4Vectors	0.50.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
S7	0.2.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
abind	1.4.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
backports	1.5.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
base	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
broom	1.0.13	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
bslib	0.12.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
cachem	1.1.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
car	3.1.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
carData	3.0.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
circlize	0.4.18	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
cli	3.6.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
clue	0.3.68	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
cluster	2.1.8.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
coda	0.19.4.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
codetools	0.2.20	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
collapse	2.1.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
colorspace	2.1.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
compiler	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
cowplot	1.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
crayon	1.5.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
datasets	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
digest	0.6.39	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
doParallel	1.0.17	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
dplyr	1.2.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
farver	2.1.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
fastmap	1.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
foreach	1.5.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
future	1.75.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
future.apply	1.20.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
generics	0.1.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
ggalluvial	0.12.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
ggnetwork	0.5.14	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
ggplot2	4.0.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
ggpubr	1.0.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
ggrepel	0.9.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
ggsignif	0.6.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
globals	0.19.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
glue	1.8.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
grDevices	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
graphics	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
grid	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
gridBase	0.4.7	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
gtable	0.3.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
htmltools	0.5.9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
httpuv	1.6.17	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
igraph	2.3.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
irlba	2.3.7	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
iterators	1.0.14	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
jquerylib	0.1.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
jsonlite	2.0.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
later	1.4.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
lattice	0.22.9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
lifecycle	1.0.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
listenv	1.0.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
magrittr	2.0.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
matrixStats	1.5.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
