"Package"	"LibPath"	"Version"	"Priority"	"Depends"	"Imports"	"LinkingTo"	"Suggests"	"Enhances"	"License"	"License_is_FOSS"	"License_restricts_use"	"OS_type"	"MD5sum"	"NeedsCompilation"	"Built"	"Published"	"Repository"	"RemoteUrl"	"RemoteSha"	"biocViews"
"BH"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.90.0-1"							"BSL-1.0"					"no"	"R 4.6.1; ; 2026-08-19 11:46:54 UTC; windows"		"CRAN"			
"Biobase"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.72.0"		"R (>= 2.10), BiocGenerics (>= 0.27.1), utils"	"methods"		"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr,
limma"		"Artistic-2.0"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-04-29 10:50:27 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/Biobase"	"65ae7a98395e50568bfb7a6b6367dcd967d89e1a"	"Infrastructure"
"BiocGenerics"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.58.1"		"R (>= 4.0.0), methods, utils, graphics, stats, generics"	"methods, utils, graphics, stats"		"Biobase, S4Vectors, IRanges, S4Arrays, SparseArray,
DelayedArray, HDF5Array, GenomicRanges, pwalign, Rsamtools,
AnnotationDbi, affy, affyPLM, DESeq2, flowClust, MSnbase,
annotate, MultiAssayExperiment, RUnit"		"Artistic-2.0"					"no"	"R 4.6.0; ; 2026-05-14 10:20:17 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/BiocGenerics"	"995c7b312290a0776eb7c575b88d6c4d3f8d7524"	"Infrastructure"
"BiocManager"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.30.27"			"utils"		"BiocVersion, BiocStyle, remotes, rmarkdown, testthat, withr,
curl, knitr"		"Artistic-2.0"					"no"	"R 4.6.1; ; 2026-09-09 00:59:28 UTC; windows"		"CRAN"			
"BiocNeighbors"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.6.0"			"Rcpp, methods"	"Rcpp, assorthead, beachmat"	"Matrix, DelayedArray, beachmat, BiocParallel, testthat,
BiocStyle, knitr, rmarkdown"		"GPL-3"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-05-10 09:38:36 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/BiocNeighbors"	"221e565acfb3d54d1cf86c69b4cb72a78c9e9cc5"	"Clustering, Classification"
"BiocParallel"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.46.0"		"methods, R (>= 4.1.0)"	"stats, utils, futile.logger, parallel, snow, codetools"	"BH (>= 1.87.0), cpp11"	"BiocGenerics, tools, foreach, BBmisc, doParallel,
GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, RUnit, BiocStyle,
knitr, batchtools, data.table"	"Rmpi"	"GPL-2 | GPL-3 | BSL-1.0"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-04-29 15:02:21 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/BiocParallel"	"a331dfd2695daec754304505bdbd7358eef009fa"	"Infrastructure"
"BiocSingular"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.28.0"			"BiocGenerics, S4Vectors, Matrix, methods, utils, DelayedArray,
BiocParallel, ScaledMatrix, irlba, rsvd, Rcpp, beachmat (>=
2.25.1)"	"Rcpp, beachmat, assorthead"	"testthat, BiocStyle, knitr, rmarkdown, ResidualMatrix"		"GPL-3"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-04-29 13:02:33 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/BiocSingular"	"675ff544b7bab511b17d6b52ef390815b4aa3bc0"	"Software, DimensionReduction, PrincipalComponent"
"BiocVersion"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"3.23.1"		"R (>= 4.4.0)"					"Artistic-2.0"					"no"	"R 4.6.0; ; 2026-03-01 08:32:11 UTC; windows"		"https://bioc.r-universe.dev"	"https://github.com/bioc/BiocVersion"	"252d7c8f03a39a9b83f6de7e9dbf9a5ee6584365"	"Infrastructure"
"CellChat"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"2.2.0.9001"		"R (>= 3.6.0),dplyr,igraph,ggplot2"	"future, future.apply, pbapply, irlba, NMF (>= 0.23.0),
ggalluvial, stringr, svglite, Matrix, ggrepel, circlize (>=
0.4.12), RColorBrewer, cowplot, methods, ComplexHeatmap,
RSpectra, Rcpp, reticulate, scales, sna, reshape2, FNN, shape,
BiocGenerics, magrittr, patchwork, colorspace, plyr, ggpubr,
ggnetwork, BiocNeighbors, plotly,shiny,bslib, collapse"	"Rcpp, RcppEigen"	"rmarkdown, knitr, roxygen2, Seurat (>= 4.0.0),
SingleCellExperiment, SummarizedExperiment,
purrr,uwot,gg.gap,wordcloud,bsicons,presto,tidyverse,tidyr,rlang"		"GPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-03 13:38:57 UTC; windows"		"https://blaserlab.r-universe.dev"	"https://github.com/jinworks/CellChat"	"75253cd0c9e68410e6e721a6d3a0419a1d7e358f"	
"ComplexHeatmap"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.28.0"		"R (>= 4.0.0), methods, grid, graphics, stats, grDevices"	"circlize (>= 0.4.14), GetoptLong, colorspace, clue,
RColorBrewer, GlobalOptions (>= 0.1.0), png, digest, IRanges,
matrixStats, foreach, doParallel, codetools"		"testthat (>= 1.0.0), knitr, markdown, dendsort, jpeg, tiff,
fastcluster, EnrichedHeatmap, dendextend (>= 1.0.1), grImport,
grImport2, glue, GenomicRanges, gridtext, pheatmap (>= 1.0.12),
gridGraphics, gplots, rmarkdown, Cairo, magick"		"MIT + file LICENSE"					"no"	"R 4.6.0; ; 2026-05-01 09:32:49 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/ComplexHeatmap"	"ceecd5f835393e97d5902ceaabca6e66bd648263"	"Software, Visualization, Sequencing"
