Package	Version	archive_path	original_url	bytes	sha256	md5
Deriv	4.3.5	binaries/Deriv_4.3.5.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/Deriv_4.3.5.zip	538766	c0e68393eefe92c04f9ea24c2bc845289161f6f1100869fefc21aee6a30eca80	fdb0f5f7edddf45d08f99ee21d1c9b6f
Formula	1.2-6	binaries/Formula_1.2-6.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/Formula_1.2-6.zip	83553	2af6691a09c1ce550495029a951b3ec85eb4faf745e84bdc96febf9ecc9d45b8	64ccc9da71baaa4d53b688ac108fb6bc
MatrixModels	0.5-4	binaries/MatrixModels_0.5-4.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/MatrixModels_0.5-4.zip	410621	50fad158f8d33de560be4bf15ba9a01f7141374fbbc319d559f14aaf73c3a321	472aeaeff8a210594e428a82a6188707
NMF	0.28	binaries/NMF_0.28.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/NMF_0.28.zip	3152468	d63071c4f45233f3a5b2ede9dadf8d9d170fd18e2252d992b45cbaf47dec2e9d	7dcef4f8dca9d8d5341e1027fb37bf7d
Rdpack	2.6.6	binaries/Rdpack_2.6.6.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/Rdpack_2.6.6.zip	650064	7aaf654892a6d71e6e5561375dd9d4ada584e027f8dc33efd4776c17cedc21fc	1af46bf328c916ec1421b358dc418223
SparseM	1.84-2	binaries/SparseM_1.84-2.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/SparseM_1.84-2.zip	891668	86d02182061964504fd105b51328218c660a664fc521b1c6399cadd146026031	c139815b8f40e778aa75411411912943
broom	1.0.13	binaries/broom_1.0.13.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/broom_1.0.13.zip	1630140	d4bcdd5c02c60436d89796c57167b3359ae4d5ac374d4122406d715e38189ba1	6f490613bdd1086aa58bb37cbbdf4efa
car	3.1-5	binaries/car_3.1-5.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/car_3.1-5.zip	1542744	7f1116ab704aade1d34c4c15c51cdee34f7332d40cd1ac4ba79f2527fe115eb1	6b896c2201a6f226d06076e802d4686d
carData	3.0-6	binaries/carData_3.0-6.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/carData_3.0-6.zip	1706339	1f3c30d07bbcf0da819cff1d673ed2f5ed82042c0808c47f07d599241d197fee	48c2345830fa5fcf34d9b5095110992c
coda	0.19-4.1	binaries/coda_0.19-4.1.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/coda_0.19-4.1.zip	332344	71102565fab01507d270319819cbbaece4c9353bc49907af44b1c7e04739617c	ba64dd5d7dc2799e89b436bdeb084f09
collapse	2.1.8	binaries/collapse_2.1.8.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/collapse_2.1.8.zip	3854431	63dd6df9c5f136b7a5defa60f399a84b7d7d3523390159da0453a943a2409a30	eba13e29557dfa37484ef5050b989050
corrplot	0.95	binaries/corrplot_0.95.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/corrplot_0.95.zip	3827498	c025545d58764cf76aa3d3a1b34356b89e107c1a5be4e7536245d44df9d3cfb8	006f095b4d47e03697b2c9237b773434
doBy	4.7.2	binaries/doBy_4.7.2.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/doBy_4.7.2.zip	4849012	73dacb218ccba33052e18f81a8e759ea5bd25a14ee01c68804adb4b5ed62ff8c	ff0a01769b728fcde8c31ff0b0cd5341
forecast	9.0.2	binaries/forecast_9.0.2.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/forecast_9.0.2.zip	1996853	b81b8327b32f84c1bd3ea92344ac42878438cde331ba18766c007bb6abccf9e3	1f171d6e25904a2fc82f63b52ca8f7af
fracdiff	1.5-4	binaries/fracdiff_1.5-4.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/fracdiff_1.5-4.zip	108286	8ba2edb049b9cd11591a944e64285e2b0bf85f5c931b001c326823fa90dc5081	6493920fcf39baffc1a185b135164174
ggalluvial	0.12.6	binaries/ggalluvial_0.12.6.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/ggalluvial_0.12.6.zip	1682642	8b77db0ff9a58ed9c12c666ebc7bace09d75cf7d19dadb4b307e15e6d3e3499d	1a9890faadb11d87200bd4593ff0c7a2
ggnetwork	0.5.14	binaries/ggnetwork_0.5.14.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/ggnetwork_0.5.14.zip	1974396	636ab57ce5f15ec0c9021138df7895f7d3effa5725c8b8fdc6f29df575745a0b	dcb0112b9fbf9a80faa83a1bcd1ab010
ggpubr	1.0.0	binaries/ggpubr_1.0.0.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/ggpubr_1.0.0.zip	2348684	93bb95727747846bf1291b3aa63347472de27b0db9d24690188dd5214d44c9af	9e03f6f732be61d2c35b67c5daf5081d
ggsci	5.2.0	binaries/ggsci_5.2.0.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/ggsci_5.2.0.zip	2375739	7ca85d0bba1a388d34c5b6bd892e0e9b87e38f13d40e84616ec62ca1345bd939	942aa2ad8d09afbf52492af5701e9e09
