dataset	sample	cell_type	config	gene	n_cells	fraction	mean_umi
GSE174574	GSM5319987	Astrocyte	primary	Aldh1l1	365	0.3643835616438356	0.4986301369863014
GSE174574	GSM5319987	Astrocyte	primary	Slc1a2	365	0.8986301369863013	7.167123287671233
GSE174574	GSM5319987	Astrocyte	primary	Slc1a3	365	0.915068493150685	8.449315068493151
GSE174574	GSM5319987	Astrocyte	primary	Glul	365	0.9917808219178083	14.835616438356164
GSE174574	GSM5319987	Astrocyte	primary	Sox9	365	0.6767123287671233	1.3068493150684932
GSE174574	GSM5319987	Astrocyte	primary	Pecam1	365	0.1589041095890411	0.23835616438356164
GSE174574	GSM5319987	Astrocyte	primary	Cdh5	365	0.0958904109589041	0.12876712328767123
GSE174574	GSM5319987	Astrocyte	primary	Kdr	365	0.1178082191780822	0.1780821917808219
GSE174574	GSM5319987	Astrocyte	primary	Ptprc	365	0.0136986301369863	0.0136986301369863
GSE174574	GSM5319987	Astrocyte	primary	Tyrobp	365	0.22465753424657534	0.4438356164383562
GSE174574	GSM5319987	Astrocyte	primary	Lyz2	365	0.2547945205479452	0.473972602739726
GSE174574	GSM5319987	Astrocyte	primary	C1qa	365	0.5178082191780822	1.1643835616438356
GSE174574	GSM5319987	Astrocyte	primary	P2ry12	365	0.21643835616438356	0.36164383561643837
GSE174574	GSM5319987	Astrocyte	primary	Tmem119	365	0.1643835616438356	0.27671232876712326
GSE174574	GSM5319987	Astrocyte	primary	Spp1	365	0.005479452054794521	0.005479452054794521
GSE174574	GSM5319987	Astrocyte	primary	Cd14	365	0.043835616438356165	0.0547945205479452
GSE174574	GSM5319987	Astrocyte	primary	Timp1	365	0.00821917808219178	0.00821917808219178
GSE174574	GSM5319987	Astrocyte	primary	Cd63	365	0.863013698630137	4.427397260273972
GSE174574	GSM5319987	Astrocyte	primary	Ptn	365	0.9397260273972603	8.424657534246576
GSE174574	GSM5319987	Astrocyte	primary	Ptprb	365	0.1643835616438356	0.2219178082191781
GSE174574	GSM5319987	Astrocyte	primary	S1pr1	365	0.7917808219178082	2.0383561643835617
GSE174574	GSM5319987	Astrocyte	strict_identity	Aldh1l1	326	0.36809815950920244	0.5184049079754601
GSE174574	GSM5319987	Astrocyte	strict_identity	Slc1a2	326	0.9539877300613497	7.914110429447852
GSE174574	GSM5319987	Astrocyte	strict_identity	Slc1a3	326	0.9815950920245399	9.349693251533742
GSE174574	GSM5319987	Astrocyte	strict_identity	Glul	326	0.9969325153374233	15.843558282208589
GSE174574	GSM5319987	Astrocyte	strict_identity	Sox9	326	0.7208588957055214	1.4263803680981595
GSE174574	GSM5319987	Astrocyte	strict_identity	Pecam1	326	0.12269938650306748	0.17791411042944785
GSE174574	GSM5319987	Astrocyte	strict_identity	Cdh5	326	0.07975460122699386	0.10429447852760736
GSE174574	GSM5319987	Astrocyte	strict_identity	Kdr	326	0.09815950920245399	0.15337423312883436
GSE174574	GSM5319987	Astrocyte	strict_identity	Ptprc	326	0.009202453987730062	0.009202453987730062
GSE174574	GSM5319987	Astrocyte	strict_identity	Tyrobp	326	0.2331288343558282	0.4294478527607362
