dataset	sample	condition	config	cell_type	n_cells	total_target_counts
GSE174574	GSM5319987	Sham	singlet	Astrocyte	335	1028211
GSE174574	GSM5319987	Sham	singlet	Endothelial	1485	3838892
GSE174574	GSM5319987	Sham	singlet	Pericyte	106	269967
GSE174574	GSM5319987	Sham	reference_singlet	Astrocyte	261	841388
GSE174574	GSM5319987	Sham	reference_singlet	Endothelial	1375	3589879
GSE174574	GSM5319987	Sham	reference_singlet	Pericyte	28	60964
GSE174574	GSM5319987	Sham	reference_only	Astrocyte	265	853540
GSE174574	GSM5319987	Sham	reference_only	Endothelial	4198	10073040
GSE174574	GSM5319987	Sham	reference_only	Pericyte	28	60964
GSE174574	GSM5319988	Sham	singlet	Astrocyte	350	1091350
GSE174574	GSM5319988	Sham	singlet	Endothelial	1355	3716170
GSE174574	GSM5319988	Sham	singlet	Pericyte	113	303849
GSE174574	GSM5319988	Sham	reference_singlet	Astrocyte	268	885475
GSE174574	GSM5319988	Sham	reference_singlet	Endothelial	1264	3510274
GSE174574	GSM5319988	Sham	reference_singlet	Pericyte	29	61709
GSE174574	GSM5319988	Sham	reference_only	Astrocyte	278	926334
GSE174574	GSM5319988	Sham	reference_only	Endothelial	4111	10163822
GSE174574	GSM5319988	Sham	reference_only	Pericyte	29	61709
GSE174574	GSM5319989	Sham	singlet	Astrocyte	420	1357865
GSE174574	GSM5319989	Sham	singlet	Endothelial	1665	4542149
GSE174574	GSM5319989	Sham	singlet	Pericyte	130	363306
GSE174574	GSM5319989	Sham	reference_singlet	Astrocyte	322	1105806
GSE174574	GSM5319989	Sham	reference_singlet	Endothelial	1547	4262243
GSE174574	GSM5319989	Sham	reference_singlet	Pericyte	32	67590
GSE174574	GSM5319989	Sham	reference_only	Astrocyte	323	1107230
GSE174574	GSM5319989	Sham	reference_only	Endothelial	4827	12012653
GSE174574	GSM5319989	Sham	reference_only	Pericyte	32	67590
GSE174574	GSM5319990	MCAO	singlet	Astrocyte	721	2581821
GSE174574	GSM5319990	MCAO	singlet	Endothelial	1954	5960184
GSE174574	GSM5319990	MCAO	singlet	Pericyte	313	892534
GSE174574	GSM5319990	MCAO	reference_singlet	Astrocyte	579	2181295
GSE174574	GSM5319990	MCAO	reference_singlet	Endothelial	1619	5060235
GSE174574	GSM5319990	MCAO	reference_singlet	Pericyte	107	233672
GSE174574	GSM5319990	MCAO	reference_only	Astrocyte	652	2450840
GSE174574	GSM5319990	MCAO	reference_only	Endothelial	3876	11104690
GSE174574	GSM5319990	MCAO	reference_only	Pericyte	111	246560
GSE174574	GSM5319991	MCAO	singlet	Astrocyte	675	2369966
GSE174574	GSM5319991	MCAO	singlet	Endothelial	1837	5421905
GSE174574	GSM5319991	MCAO	singlet	Pericyte	296	763677
GSE174574	GSM5319991	MCAO	reference_singlet	Astrocyte	537	1928709
GSE174574	GSM5319991	MCAO	reference_singlet	Endothelial	1474	4470833
GSE174574	GSM5319991	MCAO	reference_singlet	Pericyte	101	211147
GSE174574	GSM5319991	MCAO	reference_only	Astrocyte	599	2130845
GSE174574	GSM5319991	MCAO	reference_only	Endothelial	3708	10201440
GSE174574	GSM5319991	MCAO	reference_only	Pericyte	109	230606
GSE174574	GSM5319992	MCAO	singlet	Astrocyte	482	2101755
GSE174574	GSM5319992	MCAO	singlet	Endothelial	1545	5489184
GSE174574	GSM5319992	MCAO	singlet	Pericyte	227	745695
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	397	1796154
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	1317	4764882
GSE174574	GSM5319992	MCAO	reference_singlet	Pericyte	83	220983
GSE174574	GSM5319992	MCAO	reference_only	Astrocyte	448	1968588
GSE174574	GSM5319992	MCAO	reference_only	Endothelial	2693	8908353
GSE174574	GSM5319992	MCAO	reference_only	Pericyte	88	231531
