gsm	title	source_name_ch1	characteristics_ch1	description	relation
GSM4985094	contralateral astrocyte replicate1	contralateral hemisphisphere	tissue: contralateral astrocyte	counts.matrix.norm_anno | cAC_1	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143184 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721643
GSM4985095	contralateral astrocyte replicate2	contralateral hemisphisphere	tissue: contralateral astrocyte	counts.matrix.norm_anno | cAC_2	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143183 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721644
GSM4985096	contralateral astrocyte replicate3	contralateral hemisphisphere	tissue: contralateral astrocyte	counts.matrix.norm_anno | cAC_3	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143182 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721645
GSM4985097	contralateral astrocyte replicate4	contralateral hemisphisphere	tissue: contralateral astrocyte	counts.matrix.norm_anno | cAC_4	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143180 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721646
GSM4985098	contralateral astrocyte replicate5	contralateral hemisphisphere	tissue: contralateral astrocyte	counts.matrix.norm_anno | cAC_5	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143256 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721647
GSM4985099	contralateral astrocyte replicate6	contralateral hemisphisphere	tissue: contralateral astrocyte	counts.matrix.norm_anno | cAC_6	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143254 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721648
GSM4985100	contralateral endothelial cell replicate1	contralateral hemisphisphere	tissue: contralateral endothelial cell	counts.matrix.norm_anno | cEC_1	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143253 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721649
GSM4985101	contralateral endothelial cell replicate2	contralateral hemisphisphere	tissue: contralateral endothelial cell	counts.matrix.norm_anno | cEC_2	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143252 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721650
GSM4985102	contralateral endothelial cell replicate3	contralateral hemisphisphere	tissue: contralateral endothelial cell	counts.matrix.norm_anno | cEC_3	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143250 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721651
GSM4985103	contralateral endothelial cell replicate4	contralateral hemisphisphere	tissue: contralateral endothelial cell	counts.matrix.norm_anno | cEC_4	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143249 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721652
GSM4985104	contralateral endothelial cell replicate5	contralateral hemisphisphere	tissue: contralateral endothelial cell	counts.matrix.norm_anno | cEC_5	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143247 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721653
GSM4985105	contralateral endothelial cell replicate6	contralateral hemisphisphere	tissue: contralateral endothelial cell	counts.matrix.norm_anno | cEC_6	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143246 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721654
GSM4985106	contralateral microglia replicate1	contralateral hemisphisphere	tissue: contralateral microglia	counts.matrix.norm_anno | cMG_1	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143068 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721655
GSM4985107	contralateral microglia replicate2	contralateral hemisphisphere	tissue: contralateral microglia	counts.matrix.norm_anno | cMG_2	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143067 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721656
GSM4985108	contralateral microglia replicate3	contralateral hemisphisphere	tissue: contralateral microglia	counts.matrix.norm_anno | cMG_3	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143065 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721657
GSM4985109	contralateral microglia replicate4	contralateral hemisphisphere	tissue: contralateral microglia	counts.matrix.norm_anno | cMG_4	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143064 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721658
GSM4985110	contralateral microglia replicate5	contralateral hemisphisphere	tissue: contralateral microglia	counts.matrix.norm_anno | cMG_5	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143062 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721659
GSM4985111	contralateral microglia replicate6	contralateral hemisphisphere	tissue: contralateral microglia	counts.matrix.norm_anno | cMG_6	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143060 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721660
GSM4985112	contralateral pericyte replicate1	contralateral hemisphisphere	tissue: contralateral pericyte	counts.matrix.norm_anno | cPC_1	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143058 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721661
GSM4985113	contralateral pericyte replicate2	contralateral hemisphisphere	tissue: contralateral pericyte	counts.matrix.norm_anno | cPC_2	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17143056 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9721662
