Ensembl gene	cAC_1	cAC_2	cAC_3	cAC_4	cAC_5	cAC_6	cEC_1	cEC_2	cEC_3	cEC_4	cEC_5	cEC_6	cMG_1	cMG_2	cMG_3	cMG_4	cMG_5	cMG_6	sAC_1	sAC_2	sAC_3	sAC_4	sAC_5	sAC_6	sEC_1	sEC_2	sEC_3	sEC_4	sEC_5	sEC_6	sMG_1	sMG_2	sMG_3	sMG_4	sMG_5	sMG_6	cPC_1	cPC_2	cPC_3	cPC_4	cPC_5	cPC_6	sPC_1	sPC_2	sPC_3	sPC_4	sPC_5	sPC_6	cAC_mean	sAC_mean	cEC_mean	sEC_mean	cMG_mean	sMG_mean	cPC_mean	sPC_mean
Slc1a3	70489	59753	66301	44740	78661	51836	428	703	586	69	33	34	2859	2500	3285	2796	3082	2877	75867	46376	30121	24988	75613	61371	1288	492	465	70	59	17	1215	799	537	930	1347	1042	8	446	560	22	267	178	146	382	662	390	49	163	61963.333333333336	52389.333333333336	308.8333333333333	398.5	2899.8333333333335	978.3333333333334	246.83333333333334	298.6666666666667
Pecam1	78	228	58	237	161	221	16097	5823	18269	15795	18580	16939	312	120	211	489	168	315	54	535	176	376	113	371	6181	18116	12492	17581	26077	26168	262	380	369	790	121	251	556	461	251	12	301	538	183	184	459	607	564	2478	163.83333333333334	270.8333333333333	15250.5	17769.166666666668	269.1666666666667	362.1666666666667	353.1666666666667	745.8333333333334
Aif1	170	367	27	92	5	20	131	1446	171	23	7	6	4713	4656	4648	4643	4784	3431	49	287	270	111	8	8	693	215	631	64	6	5	3891	8061	2492	2164	3294	2011	21	239	118	0	0	2	46	303	647	305	0	0	113.5	122.16666666666667	297.3333333333333	269.0	4479.166666666667	3652.1666666666665	63.333333333333336	216.83333333333334
Aqp4	8622	6439	10306	5623	15696	11065	43	97	72	0	42	1	56	94	166	28	57	23	11134	6289	5782	4582	16784	14346	450	70	98	62	15	0	71	86	163	111	15	18	0	113	131	0	0	61	200	61	8	73	0	0	9625.166666666666	9819.5	42.5	115.83333333333333	70.66666666666667	77.33333333333333	50.833333333333336	57.0
Pdgfrb	2229	1940	1332	1286	4332	2140	136	78	136	341	148	77	45	153	5	114	54	107	1809	1360	677	547	2439	1979	121	401	131	280	17	0	102	56	69	216	184	637	11795	6893	12472	15165	31045	24332	10278	15418	8607	6375	30885	23810	2209.8333333333335	1468.5	152.66666666666666	158.33333333333334	79.66666666666667	210.66666666666666	16950.333333333332	15895.5
Csf1r	3978	9483	1017	969	432	380	4135	2644	4966	2151	107	284	132047	151572	112570	131634	147896	146805	1587	6683	6055	1889	229	265	1842	5338	12554	1559	184	148	80059	23680	55787	63631	106556	91396	700	6604	2523	182	0	24	3523	9529	16058	13469	0	29	2709.8333333333335	2784.6666666666665	2381.1666666666665	3604.1666666666665	137087.33333333334	70184.83333333333	1672.1666666666667	7101.333333333333
Rgs5	106	842	76	341	1656	1541	400	1481	322	568	588	369	143	246	50	234	357	570	45	272	207	186	811	689	111	492	195	268	117	201	118	207	54	154	296	831	10636	7400	6361	9292	59320	41047	9989	3892	3138	2828	45013	44998	760.3333333333334	368.3333333333333	621.3333333333334	230.66666666666666	266.6666666666667	276.6666666666667	22342.666666666668	18309.666666666668
Kcnj8	130	523	41	87	1378	895	24	161	26	0	17	7	14	122	20	86	0	10	32	293	73	105	709	703	0	114	68	70	6	67	1	0	40	101	8	30	72	3	90	43	305	159	216	96	130	312	348	264	509.0	319.1666666666667	39.166666666666664	54.166666666666664	42.0	30.0	112.0	227.66666666666666
Abcc9	44	301	0	12	793	539	45	127	39	0	21	25	4	14	18	19	0	39	17	172	29	44	502	353	1	80	9	11	14	10	4	2	7	22	2	0	0	74	50	0	90	85	0	64	36	9	148	119	281.5	186.16666666666666	42.833333333333336	20.833333333333332	15.666666666666666	6.166666666666667	49.833333333333336	62.666666666666664
Cspg4	392	456	167	228	1275	561	236	0	140	496	98	43	46	86	26	102	188	244	77	204	238	125	782	437	0	327	149	32	19	11	218	35	116	224	151	457	25675	12206	24325	28885	29322	24443	18015	17090	9088	10022	20777	12492	513.1666666666666	310.5	168.83333333333334	89.66666666666667	115.33333333333333	200.16666666666666	24142.666666666668	14580.666666666666
P2ry12	307	1250	213	297	127	276	515	1547	868	267	25	41	34185	24212	28393	18947	36074	36056	140	317	334	199	117	121	1223	250	639	99	38	3	16293	11492	3372	4265	14789	9755	403	1349	644	27	6	9	424	587	758	781	0	0	411.6666666666667	204.66666666666666	543.8333333333334	375.3333333333333	29644.5	9994.333333333334	406.3333333333333	425.0
Cldn5	190	823	61	658	154	536	40066	40629	43599	57462	28965	34606	512	610	44	495	76	157	61	784	147	563	98	396	43955	32986	29180	42057	34481	34026	369	433	499	1346	49	244	2118	2231	823	538	895	942	1059	914	631	1345	848	2228	403.6666666666667	341.5	40887.833333333336	36114.166666666664	315.6666666666667	490.0	1257.8333333333333	1170.8333333333333
Tmem119	1448	2879	190	573	107	187	1450	622	1671	664	32	41	61086	48346	45990	50648	55739	54840	445	1170	1148	392	56	74	1476	1352	2667	298	28	17	28226	7119	11624	13695	34036	24525	1134	2504	1763	313	221	532	1422	2739	3763	3780	243	216	897.3333333333334	547.5	746.6666666666666	973.0	52774.833333333336	19870.833333333332	1077.8333333333333	2027.1666666666667
